EventID,PhotoID,EventPhotoRank
51,1146,1000
51,1147,1000
51,1421,1000
51,1657,1000
51,3678,1000
51,3679,1000
51,3680,1000
51,5897,1000
51,5902,1000
51,5917,1000
51,6183,1000
51,6184,1000
51,9634,1000
51,14405,1000
51,14406,1000
51,14990,1000
51,14997,1000
51,14999,1000
51,21329,1000
51,21367,1000
51,21378,1000
51,21497,1000
51,21865,1000
52,96,1000
52,539,1000
52,765,1000
52,768,1000
52,769,1000
52,770,1000
52,773,1000
52,774,1000
52,775,1000
52,776,1000
52,5599,1000
52,7306,1000
52,9083,1000
52,9239,1000
52,9241,1000
52,9242,1000
52,9766,1000
52,21324,1000
52,21370,1000
52,21988,1000
53,97,1000
53,103,1000
53,105,1000
53,113,1000
53,122,1000
53,133,1000
53,134,1000
53,136,1000
53,138,1000
53,139,1000
53,140,1000
53,141,1000
53,142,1000
53,143,1000
53,144,1000
53,145,1000
53,146,1000
53,148,1000
53,149,1000
53,151,1000
53,152,1000
53,170,1000
53,287,1000
53,300,1000
53,375,1000
53,397,1000
53,399,1000
53,400,1000
53,401,1000
53,402,1000
53,403,1000
53,404,1000
53,405,1000
53,406,1000
53,407,1000
53,408,1000
53,409,1000
53,410,1000
53,411,1000
53,412,1000
53,413,1000
53,414,1000
53,416,1000
53,419,1000
53,427,1000
53,431,1000
53,472,1000
53,475,1000
53,519,1000
53,618,1000
53,847,1000
53,848,1000
53,851,1000
53,1164,1000
53,1165,1000
53,1192,1000
53,1297,1000
53,1300,1000
53,1302,1000
53,1429,1000
53,1432,1000
53,1650,1000
53,1651,1000
53,1684,1000
53,1756,1000
53,1759,1000
53,1971,1000
53,1974,1000
53,2109,1000
53,3430,1000
53,3482,1000
53,3495,1000
53,3672,1000
53,3790,1000
53,3791,1000
53,3906,1000
53,4120,1000
53,4127,1000
53,4128,1000
53,4129,1000
53,4130,1000
53,4131,1000
53,4132,1000
53,4133,1000
53,4134,1000
53,4135,1000
53,4136,1000
53,4143,1000
53,4147,1000
53,4152,1000
53,4171,1000
53,4173,1000
53,4182,1000
53,4191,1000
53,4205,1000
53,4209,1000
53,4220,1000
53,4223,1000
53,4308,1000
53,4309,1000
53,4498,1000
53,4638,1000
53,4691,1000
53,4693,1000
53,4694,3
53,4743,1000
53,4746,1000
53,4755,1000
53,4758,1000
53,5142,1000
53,5147,1000
53,5252,1000
53,5540,1000
53,5544,1000
53,5777,1000
53,5780,1000
53,6543,1000
53,6556,1000
53,6893,1000
53,6900,1000
53,6955,1000
53,7050,1000
53,7051,1000
53,7475,1000
53,7731,1000
53,7732,1000
53,7734,1000
53,7842,1000
53,7844,1000
53,7845,1000
53,7846,1000
53,7848,1000
53,7849,1000
53,7855,1000
53,7950,1000
53,7951,1000
53,7953,1000
53,7954,1000
53,8024,1000
53,8025,1000
53,8342,1000
53,8714,1000
53,8715,1000
53,8716,1000
53,8717,1000
53,8721,1000
53,9244,1000
53,9627,1000
53,9822,1000
53,11539,1000
53,11554,1000
53,11566,1000
