EventID,MemberID,EventMemberRank
397,343,1000
398,343,1000
398,667,1000
399,343,1000
400,464,1000
400,697,1000
401,464,1000
401,697,1000
402,130,1000
402,442,1000
402,464,1000
402,698,1000
402,699,1000
403,312,1000
403,464,1000
403,701,1000
403,702,1000
404,302,1000
404,442,1000
404,464,1000
405,302,1000
405,464,1000
405,472,1000
406,302,1000
406,464,1000
407,129,1000
407,464,1000
408,464,1000
408,703,1000
408,704,1000
409,246,1000
409,464,1000
409,701,1000
410,416,1000
410,464,1000
410,699,1000
411,124,1000
411,464,1000
412,102,1000
413,300,1000
413,464,1000
414,300,1000
414,464,1000
415,300,1000
415,464,1000
415,669,1000
416,464,1000
416,702,1000
416,705,1000
417,464,1000
417,702,1000
417,705,1000
418,734,1000
419,418,1
419,735,1000
420,135,1000
420,418,2
420,2679,1000
421,166,1000
421,418,1000
421,502,1000
421,736,1000
422,418,1000
423,418,1000
423,537,1000
423,737,1000
425,418,1000
425,638,1000
426,335,1000
426,418,1000
427,118,1000
427,418,1000
428,418,1000
428,735,1000
429,135,1000
429,253,1000
429,418,1000
429,607,1000
429,739,1000
430,418,1000
431,740,1000
432,740,1000
433,258,1
434,258,1000
435,112,2
435,258,1000
436,258,1000
437,258,1000
438,741,1000
439,258,1000
440,166,1000
440,243,1000
440,742,1000
440,743,1000
441,258,1000
441,293,1000
442,258,1000
443,258,1000
443,674,1000
444,258,1000
444,335,1000
445,100,1000
445,258,1000
445,770,1000
446,166,1000
446,258,1000
447,205,1000
447,258,1000
448,434,1000
448,745,1000
449,745,1000
450,745,1000
451,192,1000
451,247,1000
451,750,1
451,751,1000
451,753,1000
452,750,1000
453,192,2
453,247,2
453,750,3
453,751,2
453,753,2
454,192,4
454,247,4
454,750,5
454,751,4
454,753,4
455,293,1000
455,387,1000
455,1239,1000
456,274,1000
456,639,1000
456,1265,1000
456,1575,1000
456,1805,1000
458,150,1000
458,758,1000
459,150,1000
460,150,1000
461,130,1000
461,150,1000
462,150,1000
462,368,1000
463,150,1000
464,150,1000
465,125,1000
466,125,1000
467,125,1000
468,99,1000
468,125,1000
469,125,1000
470,114,1000
470,125,1000
471,434,1000
472,100,1000
472,792,1000
473,100,1000
473,125,1000
474,125,1000
474,397,1000
474,478,1000
474,793,1000
475,125,1000
475,135,1000
475,335,1000
476,794,1000
477,638,1000
477,795,1000
478,166,1000
478,258,1000
479,125,1000
479,159,1000
479,243,1000
479,502,1000
480,113,1000
480,117,1000
480,252,1000
480,362,1000
480,397,1000
480,398,1000
480,734,1000
481,343,1000
481,455,1000
482,274,1000
483,125,1000
484,125,1000
484,676,1000
484,796,1000
485,125,1000
485,201,1000
486,96,1000
486,429,1000
487,115,1000
487,165,1000
487,797,1000
489,811,1000
490,811,1000
491,99,1000
491,100,1000
491,116,1000
491,117,1000
492,320,1000
492,813,1000
493,125,1000
493,320,1000
494,320,1000
494,334,1000
494,814,1000
495,815,1000
495,2883,1000
496,322,1000
496,815,1000
497,815,1000
498,815,1000
499,391,1000
499,815,1000
500,368,1000
501,817,1000
502,817,1000
503,672,1000
504,360,1000
504,478,1000
504,783,1000
504,819,1000
505,118,1
506,118,2
507,118,1000
508,117,1000
508,118,1000
509,118,1000
509,596,1000
510,100,1000
510,118,1000
511,99,1000
512,335,1000
513,118,4
513,741,1000
514,96,1000
515,821,1000
515,822,1000
516,118,1000
516,668,1000
517,118,1000
518,360,1000
518,478,1000
518,819,1000
519,824,1000
520,335,1000
520,824,1000
521,203,1000
522,99,1000
522,100,1000
522,118,1000
522,203,1000
523,203,1000
523,431,1000
523,817,1000
524,114,1000
524,203,1000
524,397,1000
525,126,1
526,126,1000
526,826,1000
527,96,1000
527,99,1000
527,100,1000
527,106,1000
527,107,1000
527,113,1000
527,114,1000
527,115,1000
527,591,1000
527,671,1000
527,822,1000
527,828,1000
528,337,1000
528,400,1000
529,400,1000
529,628,1000
530,137,1000
530,400,1000
531,400,1000
531,697,1000
532,400,1000
532,697,1000
532,1123,1000
533,400,1000
533,464,1000
533,697,1000
534,400,1000
534,1124,1000
535,243,1000
535,1359,1000
536,1359,1000
538,100,4
538,106,4
539,132,1
539,304,1000
539,473,1
540,397,1000
540,817,1000
540,825,1
541,400,1000
541,1747,2
542,136,1000
542,226,1000
542,245,1
542,452,1000
542,530,1000
542,628,1
542,1747,1
542,2923,2
543,335,1000
543,667,1000
543,933,1000
543,1575,1000
543,1776,1000
544,770,1000
545,431,1000
546,166,3
546,174,1000
546,215,2
546,369,1000
546,633,1000
546,819,1000
546,968,2
546,1647,2
546,2589,1000
554,194,1000
554,263,1000
554,302,1000
554,304,1000
554,569,1000
554,705,1000
554,774,1000
554,821,1000
554,858,1000
554,1123,1000
554,2020,1000
554,2317,1000
562,89,1000
562,118,1000
562,128,1000
562,327,1000
562,368,1000
562,458,1000
562,966,1000
562,1265,1000
562,1677,1000
565,641,2
566,258,1000
566,750,1000
567,1022,1000
568,1022,1000
571,496,1000
572,951,1000
572,1269,1000
572,1358,1000
572,1389,1000
572,1524,1000
572,1960,1000
572,2294,1000
572,2333,1000
572,2580,1000
580,350,1000
580,681,1000
580,1058,1000
580,1138,1000
580,1140,1000
580,1143,1000
580,1144,1000
580,1145,1000
580,1149,1000
580,1150,1000
580,1160,1000
580,1164,1000
580,1170,1000
580,1171,1000
580,1217,1000
580,1382,1000
580,1435,1000
580,1448,1000
580,1503,1000
580,1530,1000
581,628,2
582,629,3
583,629,4
584,388,3
585,388,1000
586,438,3
587,438,4
588,283,2
588,389,1000
588,821,1000
588,858,1000
588,1710,1000
589,283,1000
590,166,1000
590,400,1000
590,438,1000
590,540,2
591,540,4
591,1932,1000
592,100,1000
592,106,2
592,107,1000
592,473,1000
592,540,1000
593,797,1000
593,1083,1000
594,872,2
595,106,1000
595,397,1000
595,401,1000
595,792,2
596,792,1000
597,255,2
598,435,1000
599,380,3
599,409,3
600,916,2
604,112,1000
604,916,1000
605,348,1000
605,810,2
607,144,1
607,439,1
607,584,1
607,636,1
607,853,1
607,856,1
607,1078,1
608,277,1000
608,350,1000
608,780,1000
608,845,1000
608,850,1000
608,918,1000
608,1050,1000
608,1136,1000
608,1229,1000
608,1309,1000
608,2377,1000
609,259,2
609,1757,2
610,759,1000
612,293,1000
612,304,1000
612,819,1000
616,126,1000
616,142,1000
616,166,1000
616,170,1000
616,384,1000
616,393,1000
616,502,1000
616,934,1000
616,1055,1000
617,124,1000
617,300,1000
617,416,1000
617,464,1000
617,698,1000
617,705,1000
618,170,1000
619,293,1000
619,537,1000
621,166,1000
621,313,1
622,802,3
623,351,1000
623,1017,1000
623,1025,1000
623,1149,1000
623,1151,1000
623,1179,1000
623,1203,1000
623,1205,1000
623,1208,1000
623,1220,1000
623,1432,1000
623,1433,1000
623,1443,1000
631,952,2
631,1817,1000
638,130,1000
639,137,1000
639,312,1000
641,238,1000
642,460,1000
642,584,1000
642,821,1000
642,842,1000
642,2069,1000
643,2069,1000
646,1180,1000
646,1181,1000
646,1238,1000
646,1249,1000
646,1300,1000
646,1321,1000
646,1489,1000
646,1602,1000
646,1604,1000
647,238,1000
649,149,1000
649,214,1000
649,227,1000
649,605,1000
649,644,1000
649,966,1000
649,1323,1000
649,1324,1000
649,1424,1000
649,1434,1000
649,1643,1000
649,1710,1000
649,1725,1000
649,1732,1000
649,2018,1000
649,2097,1000
650,234,1000
650,273,1000
650,292,1000
650,297,1000
650,470,1000
650,584,1000
650,692,1000
650,1278,1000
650,1279,1000
